	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.8211	0.8085	0.8085	0.8085	0.9276	0.7638	0.9007	0.2128	0.0532	
SIMSBM_[1]	1	0.8211	0.8085	0.8085	0.8085	0.9276	0.7638	0.9007	0.2128	0.0532	
SIMSBM_[1]	2	0.8211	0.8085	0.8085	0.8085	0.9274	0.7635	0.9007	0.2128	0.0532	
SIMSBM_[1]	3	0.8211	0.8085	0.8085	0.8085	0.9274	0.7635	0.9007	0.2128	0.0532	
SIMSBM_[1]	4	0.8211	0.8085	0.8085	0.8085	0.9274	0.7635	0.9007	0.2128	0.0532	
SIMSBM_[1]	5	0.8211	0.8085	0.8085	0.8085	0.9276	0.7638	0.9007	0.2128	0.0532	
SIMSBM_[1]	6	0.8211	0.8085	0.8085	0.8085	0.9274	0.7635	0.9007	0.2128	0.0532	
SIMSBM_[1]	7	0.8211	0.8085	0.8085	0.8085	0.9274	0.7635	0.9007	0.2128	0.0532	
SIMSBM_[1]	8	0.8211	0.8085	0.8085	0.8085	0.9276	0.7638	0.9007	0.2128	0.0532	
SIMSBM_[1]	9	0.8211	0.8085	0.8085	0.8085	0.9283	0.7648	0.8989	0.2340	0.0585	
