	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.8136	0.8077	0.8077	0.8077	0.8743	0.8832	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	1	0.8077	0.8077	0.8077	0.8077	0.7899	0.7471	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	2	0.9615	0.9615	0.9615	0.9615	0.9808	0.9820	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[2]	3	0.8148	0.8077	0.8077	0.8077	0.8358	0.8292	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	4	0.8302	0.8200	0.8000	0.8000	0.9024	0.9112	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	5	0.8519	0.8400	0.8000	0.8000	0.8992	0.9059	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	6	0.7619	0.7600	0.7600	0.7600	0.8272	0.8407	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[2]	7	0.7407	0.7200	0.7200	0.7200	0.7528	0.7141	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[2]	8	0.8000	0.8000	0.8000	0.8000	0.7712	0.7427	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	9	0.8800	0.8800	0.8800	0.8800	0.8480	0.8276	0.9400	0.1200	0.0600	0.8800	
