	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
SIMSBM_[2]	1	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	2	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	3	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	4	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	5	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	6	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	7	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	8	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
SIMSBM_[2]	9	0.9167	0.8182	0.8182	0.8182	0.9669	0.9709	0.9091	0.1818	0.0909	
