	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8000	0.7273	0.7273	0.7273	0.8430	0.8402	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.8148	0.7273	0.7273	0.7273	0.8430	0.8592	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.7692	0.6364	0.6364	0.6364	0.8017	0.8183	0.8182	0.3636	0.1818	
SIMSBM_[3]	3	0.8000	0.7273	0.7273	0.7273	0.8264	0.8283	0.8636	0.2727	0.1364	
SIMSBM_[3]	4	0.7692	0.7273	0.7273	0.7273	0.7934	0.8036	0.8636	0.2727	0.1364	
SIMSBM_[3]	5	0.7692	0.7273	0.7273	0.7273	0.7934	0.8036	0.8636	0.2727	0.1364	
SIMSBM_[3]	6	0.7826	0.7273	0.7273	0.7273	0.8264	0.8270	0.8636	0.2727	0.1364	
SIMSBM_[3]	7	0.7586	0.6364	0.6364	0.6364	0.7686	0.7934	0.8182	0.3636	0.1818	
SIMSBM_[3]	8	0.7826	0.7273	0.7273	0.7273	0.8264	0.8270	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.7692	0.7273	0.7273	0.7273	0.7934	0.8036	0.8636	0.2727	0.1364	
