	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.7692	0.7273	0.7273	0.7273	0.7603	0.7752	0.8636	0.2727	0.1364	
SIMSBM_[2]	1	0.7097	0.6364	0.6364	0.6364	0.6694	0.7039	0.8182	0.3636	0.1818	
SIMSBM_[2]	2	0.7333	0.7273	0.7273	0.7273	0.7603	0.7844	0.8636	0.2727	0.1364	
SIMSBM_[2]	3	0.7500	0.7273	0.7273	0.7273	0.7438	0.7591	0.8636	0.2727	0.1364	
SIMSBM_[2]	4	0.7143	0.6364	0.6364	0.6364	0.7025	0.7305	0.8182	0.3636	0.1818	
SIMSBM_[2]	5	0.7273	0.7273	0.7273	0.7273	0.6942	0.7209	0.8636	0.2727	0.1364	
SIMSBM_[2]	6	0.7500	0.7273	0.7273	0.7273	0.7273	0.7440	0.8636	0.2727	0.1364	
SIMSBM_[2]	7	0.7500	0.7273	0.7273	0.7273	0.7603	0.7732	0.8636	0.2727	0.1364	
SIMSBM_[2]	8	0.7097	0.6364	0.6364	0.6364	0.6694	0.7039	0.8182	0.3636	0.1818	
SIMSBM_[2]	9	0.7500	0.7273	0.7273	0.7273	0.7438	0.7591	0.8636	0.2727	0.1364	
